CLCLIE;CLNOM;CLPTT
AL260;ALTREC;13290
AL261;SAS ALU PRESTIGE;20167
AL262;ALU ECO ENERGIE SASU;13600
AL263;ALLIONE SERRURERIE FRANCE;83520
AL264;ALL FERMETURES;59187
AL265;ALPES METALLERIE;04100
AM001;AMDB;06130
AM003;AMPLITUDE VOIR AL044;34500
AM004;AMS ASCENSEURS;13011
AM007;AMG;13015
AM008;AMSP ESAT LE ROUET;13012
AM009;AMR MENUISERIE M CONTE REMI;13730
AM011;AMELIORATECH;13200
AM012;AMCL SARL;13880
AM015;MONSIEUR ROBERT AMIRIAN;13005
AM017;AUTOMATISMES MENUIS.FERMETURES;13250
AM018;AMADEUS;06902
AM019;AMTS;13851
AM020;ATELIERS MODERNES DU BATIMENT;13130
AM021;AMBIANCE ALU;13001
AM022;A.M ALUMINIUM;83140
AM023;S M B;13010
AM024;AMCI;13510
AM029;AMD MEDITERRANEE;13610
AM030;AMS;84210
AM032;AMSI;13320
AM034;AMD;13005
AM035;AMDP;84260
AM037;AMBIANCE MENUISERIES SARL;13004
AM039;ARCELOR MITTAL DISTRIBUTION;57971
AM040;AMD OUVERTURES;13015
AM041;AMP;20000
AM042;AJACCIO MENUISERIE MAINTENANCE;20090
AM044;AMF-MORGANTE;13015
AM045;AMR POSE;13011
AM046;AMC SETE;34200
AM047;AMD SARL;06800
AM048;AMS SARL;06600
AM049;A.M.E SARL;06600
AM050;AMBIANCE STORES ET FENETRES;06240
AM051;A2M PROXIMETAL;33820
AM052;AM MULTISERVICES;13400
AM053;AMPERELEC;92120
AM054;AM SERVICE;95350
AM055;AMALGAME;69126
AM056;AMJ BATIMENT;75019
AM058;AM2S SAS;83460
AM059;AMC3G;13600
AM060;AM ALLU BA DJIBY;13010
AM061;AMS IDF;77194
AM062;AMPERIS;13016
AM063;AMBIANCE SUD PAYSAGE;13600
AM064;AMC3;75012
AM065;AMT;91320
AN001;MENUISERIES ANTOINE;13011
AN002;ANIFAN SERVICES;13400
AN003;ANGELMAT;13008
AN004;ANTOINE FERMETURES;13007
AN005;ANDRE RENOVATION;13190
AN006;ANTHONY GABALDON (DUPORT);83400
AN007;ANTHEA SARL;20290
