CODE;NOM;CODEPOSTAL;
IS016;ISATEC;13730;
IS020;ISOLBAT;13014;
IS036;INSIGHT SECURE;75008;
IS037;ISATIS FOYER DE VIE LE VILLARE;6710;
IT009;ITTEC;13800;
IV003;IVT SECURITY;76480;
JA014;JARRE SECURITE;94340;
JC004;JCC BATIMENT;13600;
JD001;JD2M;11100;
JD004;JDL FILS;6000;
JE003;JEM;13367;
JL003;JLPC;13013;
JL004;JLB VERANDAS;83130;
JM009;JML ELECTRONIC;38190;
JM011;JML SERVICES;83930;
JM013;JMS;97122;
JO014;JOHNSON CONTROLS SAS;81006;
JP001;JPB MENUISERIE;34730;
JP002;JPM ENTREPRISE GENERALE;13010;
JP006;J2P CONCEPT;13880;
KA009;KALIFELEC EURL;13010;
KA010;KALIA SARL;13290;
KA012;KALICI DESIGN;6000;
KA013;KASSIOPE;13190;
KA015;KARA MENUISERIE;13008;
KA016;KALLISTE ALU;13110;
KB001;K2B FENETRE;13016;
KB002;KB ALU;6340;
KL001;KLEMAIN SARL;6000;
KN004;KNAUF SUD EST;68190;
KR001;KROMALU;6390;
LA002;LANTEAUME (PEINTURE/REVETEMENT;13012;
LA015;LABASTERE 34 SAS;34130;
LA016;LAZER (MENUISERIE) S.A;13016;
LA028;CLINIQUE MEDIAZUR;13720;
LA032;LANDAIS YANNICK;6700;
LA084;LAPEYRE QUINCAILLERIE;81107;
LA087;LA MIROITERIE SARL;6580;
LA094;MEDITERRANEENNE DE PROTECTION;34920;
LA095;L'ASCENSEUR PARISIEN;75012;
LA101;LA CHAUMETTE CHAPUT;94310;
LA106;L'ARTISTE FRED MENUISERIE;6000;
LB001;L.B.A THIVEL;69517;
LE014;SCI RESIDENCE LEOPOLD CARTOUX;13190;
LE038;SAS LES MOUETTES;83600;
LE039;LES TROIS PEUPLIERS SAS;13821;
LE058;LES JARDINS DE MIRABEAU;13170;
LE060;LERM;13631;
LE071;LEO LAGRANGE MEDITERRANEE;13015;
LE073;LES OLIVIERS SARL;34980;
LE076;LEM;83140;
LE080;LE POSEUR;13480;
LE083;LEGALLAIS;14907;
LE088;LEBEGUE MATHIAS;13011;
LE092;LENOIR METALLERIE;69100;
LE093;LEMAIRE - TRICOTEL;95051;
LE094;LES JARDINS DE THALASSA;83160;
LE096;LES COMPAGNONS DU BARROUX;84810;
LE101;LET CONSULTING IDF;95670;
LG006;LGD FERMETURES;13190;
LI009;LITTORAL ALUMINIUM SARL;83190;
LI011;LITT DIFFUSION;13011;
LO002;LOGIREM;13302;
LO005;9115 LOXAM MODULE;14935;
LO032;LORENOVE FENETRES;13770;
LO033;LOCILEC;13100;
LO037;ECOLE LOUISE DE MARILLAC;13011;
LS003;STE LITTORAL SERVICE GENERAL;6130;
LY004;LYCEE PROF.CAMILLE JULLIAN;13011;
LY011;LYCEE AMPERE;13395;
LY024;LYCEE NELSON MANDELA;13012;
LY028;LYCEE LOUIS LUMIERE;13600;
LY033;LYCEE REGIONAL HOTELIER;6203;
LY037;LYCEE PROFESSIONNEL BROCHIER;13010;
LY050;LYCEE MAURICE GENEVOIX;13700;
LY053;"""ECCOLY"" STE MARIE BLANCARDE";13004;
LY054;LPA MARSEILLE;13008;
LY062;LYCEE POLYV.ANTONIN ARTAUD;13388;
LY074;LYCEE POLYVALENT REGIONAL NICE;6300;
LY077;LYCEE AUGUSTE RENOIR;6800;
LY079;LYCEE LEP CHARLES ALLIES;34120;
LY084;LYCEE HONORAT;4400;
LY086;LYCÉE GEORGES CISSON;83100;
LY087;LYCEE PROF RENE CAILLIE;13011;
MA001;MAIRIE DE SAINT VICTORET;13730;
MA015;MAXI PROTECTION;13008;
MA029;MASFER;84250;
MA033;MAIRIE DE PLAN DE CUQUES;13380;
MA045;MAIRIE DE VITROLLES;13743;
MA054;MAIRIE D'AUBAGNE;13400;
MA057;MAS LES ACACIAS;83390;
MA060;MAIRIE DE ROQUEFORT LA BEDOULE;13830;
